"N0","Nend","Ndead","T","P"
282847.52929214,305548.824615863,-22701.2953237233,240,0
198592.295182552,210816.858390771,-12224.5632082196,240,0
175170.501457758,204650.472221405,-29479.970763647,240,0
106084.380907917,132823.887565777,-26739.5066578601,240,0
108086.424519854,122967.280085008,-14880.855565154,240,0
60401.0695261003,81572.9106618937,-21171.8411357934,240,0
63237.3746489753,75434.661945151,-12197.2872961757,240,0
36240.2563763904,42175.9872926313,-5935.73091624093,240,0
34901.2945740018,43845.1316342016,-8943.83706019974,240,0
836590.04318769,862869.838965157,-26279.7957774671,240,0
791680.54624355,820182.713826915,-28502.1675833646,240,0
466398.735844979,481881.252888236,-15482.5170432573,240,0
430386.086931427,455330.764519815,-24944.6775883877,240,0
335276.457435935,346378.936198846,-11102.4787629113,240,0
295612.002447312,306386.181512783,-10774.179065471,240,0
212876.522451002,212518.170571453,358.351879549882,240,0
204918.178792487,209295.840438837,-4377.66164635067,240,0
140181.129902915,143444.967345316,-3263.83744240098,240,0
137267.531491241,135556.640289018,1710.89120222357,240,0
91034.2754381434,96051.7109343898,-5017.4354962464,240,0
89886.7227753836,91936.9812323433,-2050.25845695967,240,0
51126.5947924892,62605.9191669187,-11479.3243744295,240,0
56953.2468935993,64343.9977868364,-7390.75089323708,240,0
28725.9826106646,40362.9127206954,-11636.9301100308,240,0
31504.0730566098,42251.710687449,-10747.6376308392,240,0
949526.06098545,926737.625624623,22788.4353608273,241,0
684834.579133553,597127.273187032,87707.3059465211,241,0
683620.659698427,608808.407702937,74812.2519954902,241,0
479053.488786489,425857.796233056,53195.692553433,241,0
455815.620687667,362628.461127671,93187.1595599956,241,0
307503.027518389,265921.365104191,41581.6624141989,241,0
307968.504610896,269683.51164827,38284.9929626261,241,0
184590.720571666,180886.957474169,3703.76309749676,241,0
180094.313313496,170786.356794751,9307.95651874488,241,0
92840.6095219951,104668.635460507,-11828.0259385114,241,0
90542.2818634982,101096.556229597,-10554.2743660993,241,0
61187.5710873504,56797.0325389895,4390.53854836091,241,0
56094.6220050619,48353.6943152871,7740.92768977481,241,0
42175.9872926313,36463.9228434695,5712.06444916179,241,0
39835.6739811028,33345.9087878605,6489.76519324232,241,0
975099.947699041,952457.170280372,22642.7774186691,241,0
668667.509564186,642281.844644797,26385.6649193894,241,0
670888.094998895,650326.799263579,20561.2957353158,241,0
451938.276757667,429325.828185784,22612.4485718829,241,0
431735.899947641,417777.164386468,13958.7355611728,241,0
284232.121571612,278605.85007657,5626.27149504109,241,0
288297.629843983,276395.456190961,11902.1736530221,241,0
156663.154598723,180622.70254818,-23959.5479494569,241,0
164580.982561414,176048.710332563,-11467.7277711481,241,0
87596.1966931951,91362.424901358,-3766.22820816295,241,0
89559.129323094,95144.8685575485,-5585.73923445451,241,0
51435.678300756,48968.4995462454,2467.17875451053,241,0
51435.678300756,46973.3629116303,4462.31538912569,241,0
33937.5662141195,29819.4047131039,4118.1615010156,241,0
32755.3408671012,29381.526766613,3373.81410048812,241,0
851995.904647296,876144.965158681,-24149.0605113851,241,0
829775.353740766,864631.7263525,-34856.3726117342,241,0
563912.867430175,580893.164602798,-16980.2971726225,241,0
556085.991045751,571155.35567873,-15069.3646329788,241,0
408657.910994422,418353.817457676,-9695.90646325407,241,0
371066.684375986,366228.828137606,4837.85623838031,241,0
222395.450459827,230059.369632368,-7663.91917254127,241,0
250837.532881369,240651.960341475,10185.5725398933,241,0
143272.992239234,159703.66280994,-16430.6705707056,241,0
153368.967543394,161356.755733732,-7987.78819033795,241,0
92922.8030449436,98777.5580242826,-5854.7549793389,241,0
89641.0160246313,98777.5580242826,-9136.54199965128,241,0
50663.3338606425,46820.2505273689,3843.08333327364,241,0
48430.5007468802,45139.4791694184,3291.02157746184,241,0
34085.6490297764,31798.0319250282,2287.61710474815,241,0
33198.1640678374,30550.6854162574,2647.47865157995,241,0
700737.191156774,635753.018817556,64984.1723392176,240,0
673614.403531583,604113.160145456,69501.2433861269,240,0
442453.436593777,388002.775936565,54450.6606572114,240,0
396308.792167536,337437.541623005,58871.2505445309,240,0
253481.964588928,232589.822439114,20892.1421498143,240,0
